keys	en	fr
SETTINGS	Settings	Options
MANDELBROT	Mandelbrot Set	Ensemble de Mandelbrot
JULIA	Julia Set	Ensemble de Julia
LANG	Language	Langue
HELP_ZOOM	You can use the mouse scroll to zoom in and out	Vous pouvez zoomer sur la figure en utilisant la roulette de la souris
HELP_MOVE_AROUND	You can use the middle click to move around	Vous pouvez changer la position de la figure avec le clic du milieu
HELP_CHANGE_VIEW	By pressing tab you can change the main view (weather it is displaing the Mandelbrot set or the Julia set)	Vous pouvez changer la vue principale avec tab (entre l’ensemble de Mandelbrot et les ensemble de Julia)
HELP_CHANGE_JULIA	By clicking on a point in the Mandelbrot set, you will change the Julia set to the one corresponding to the clicked point	En cliquant sur un point sur l’ensemble de Mandelbrot, vous pouvez changer l’ensemble de Julia affiché par celui correspondant à ce point
JULIA_SET	Point	Point
COLOR_GRADIENT	Color gradient	Dégradé
CLASSIC	Classic	Classique
PURPLE_GRADIENT	Purple	Violet
GRAYSCALE	Grayscale	Niveaux de gris
BLUE_GRADIENT	Blue	Bleu
RESOLUTION	Resolution	Résolution
